x,y,density
512.05,378.42,421.14
473.48,375.36,391.73
528.66,402.97,405.11
486.48,384.32,390.44
505.98,396.81,418.29
463.50,368.74,387.33
519.61,400.19,424.42
480.05,383.11,390.19
510.87,394.66,403.17
464.76,373.09,419.06
527.31,406.12,381.96
488.73,392.44,414.89
502.61,399.28,389.57
460.91,368.11,420.77
521.17,395.67,386.44
478.88,383.72,417.68
505.42,387.54,399.54
467.50,371.52,418.49
526.34,402.78,386.89
490.44,395.49,412.61
512.43,379.55,421.37
473.92,377.01,391.41
529.18,401.87,405.64
486.29,384.89,390.99
504.92,394.86,417.81
462.94,367.89,400.21
518.98,399.93,386.92
481.03,382.91,417.33
507.55,389.77,394.85
465.95,372.12,409.53
526.68,403.66,380.81
489.87,395.28,412.97
511.88,400.12,421.23
474.29,378.91,402.05
529.55,405.11,426.37
485.99,391.87,387.59
504.47,395.67,413.12
462.81,367.73,400.61
519.05,400.04,386.66
480.98,382.73,417.44
506.76,388.92,394.79
465.63,371.37,409.15
527.23,403.99,381.03
488.64,392.96,414.71
502.78,399.47,389.96
461.59,368.49,420.22
520.52,395.78,386.57
479.54,383.44,417.51
505.31,387.66,399.48
467.22,371.91,418.36
526.11,402.88,386.97
490.66,395.23,412.77
512.34,379.88,421.09
473.79,376.95,391.68
528.72,402.61,405.09
486.37,384.53,390.82
505.04,396.01,418.05
463.64,368.03,387.49
519.85,400.24,424.28
480.61,382.88,390.15
510.74,394.93,403.29
464.83,373.17,419.14
527.29,406.21,381.91
488.91,392.56,414.92
502.44,399.33,389.69
460.87,368.26,420.49
521.12,395.88,386.61
478.76,383.81,417.62
505.46,387.95,399.57
467.37,371.65,418.12
526.43,402.99,386.94
490.51,395.18,412.71
512.21,379.96,421.17
473.97,377.12,391.62
529.06,401.93,405.76
486.41,384.96,390.78
504.88,394.91,417.92
462.97,367.92,400.54
518.99,399.88,386.78
481.15,382.77,417.26
507.38,389.86,394.91
465.77,372.08,409.41
526.67,403.77,380.92
489.91,395.31,412.88
511.95,400.09,421.12
474.36,378.96,402.18
529.59,405.15,426.31
485.97,391.91,387.63
504.53,395.69,413.19
495.23,386.54,407.12
508.44,399.21,412.55
476.82,373.91,398.63
512.33,403.77,385.48
487.64,379.54,420.12
521.78,395.33,392.88
468.12,382.46,405.14
510.97,389.22,418.63
474.56,367.89,401.77
523.44,401.69,387.95
482.18,393.55,414.23
509.33,386.88,396.42
469.84,375.21,410.51
527.61,403.99,382.37
487.55,397.98,413.65
503.88,397.31,390.21
461.92,369.43,419.87
519.64,394.95,386.51
479.86,381.99,417.42
506.27,389.65,399.37
466.33,373.11,418.48
525.14,404.37,387.04
491.05,390.29,412.92
513.44,379.57,421.28
474.95,376.84,391.73
530.03,402.85,405.66
486.93,384.81,390.85
504.78,395.47,417.36
495.23,386.54,407.12
508.44,399.21,412.55
476.82,373.91,398.63
512.33,403.77,385.48
487.64,379.54,420.12
521.78,395.33,392.88
468.12,382.46,405.14
510.97,389.22,418.63
474.56,367.89,401.77
523.44,401.69,387.95
482.18,393.55,414.23
509.33,386.88,396.42
469.84,375.21,410.51
527.61,403.99,382.37
487.55,397.98,413.65
503.88,397.31,390.21
461.92,369.43,419.87
519.64,394.95,386.51
479.86,381.99,417.42
506.27,389.65,399.37
466.33,373.11,418.48
525.14,404.37,387.04
491.05,390.29,412.92
513.44,379.57,421.28
